booking_id,booking_date,departure_date,advance_booking_days,passenger_name,email,phone,country,city,origin,destination,distance_miles,cabin_class,num_passengers,fare_per_passenger,total_fare,payment_method,payment_status,payment_attempts,booking_channel,bookings_last_24h,ip_address,device_id,device_reuse_count,is_cancelled,cancellation_time_hours,is_frequent_flyer,ff_miles,ff_tier,account_age_days,calculated_risk_score,is_fraud,fraud_flags,rule_based_score,num_flags,rule_based_prediction,ml_anomaly_prediction,ml_anomaly_score,ml_risk_label,final_fraud_score,final_risk_category
BK010001,2024-12-06,2024-12-28 00:00:00,22,Passenger1 Legit125,passenger1.legit125755@gmail.com,+693-858-9935,Australia,Sydney,Dubai,Mumbai,1200,Economy,4,130.97,523.89,Credit Card,Success,1,Airport Counter,0,2.112.229.151,3a7acf60f0c221fc,1,False,,True,115785,Gold,876,0,False,CLEAN,0,0,LOW_RISK,1,-0.5247356316725965,NORMAL,19.12,LOW
BK010002,2024-12-14,2024-12-27 00:00:00,13,Passenger2 Legit320,passenger2.legit320100@outlook.com,+868-452-5333,UK,Manchester,Singapore,Bangkok,882,Economy,4,112.28,449.13,Bank Transfer,Success,1,Website,0,80.148.40.219,232b40448a793a32,1,False,,False,0,,927,0,False,CLEAN,0,0,LOW_RISK,1,-0.45641608654987625,NORMAL,10.1,LOW
BK010003,2025-01-25,2025-02-18 00:00:00,24,Passenger3 Legit463,passenger3.legit463651@yahoo.com,+547-846-5010,UK,Birmingham,Chicago,Miami,1188,Premium Economy,4,216.8,867.2,Points,Success,1,Website,1,90.137.33.55,12b51b18d4c52798,3,False,,False,0,,1522,0,False,CLEAN,0,0,LOW_RISK,1,-0.45698875145308604,NORMAL,10.18,LOW
BK010004,2024-11-19,2024-12-12 00:00:00,23,Passenger4 Legit758,passenger4.legit758763@icloud.com,+552-369-8019,Canada,Toronto,Houston,Phoenix,1009,First Class,3,584.69,1754.08,Debit Card,Success,1,Website,0,142.216.32.99,d81913e144f6e914,3,False,,False,0,,1313,0,False,CLEAN,0,0,LOW_RISK,1,-0.4378763415047367,NORMAL,7.66,LOW
BK010005,2024-11-15,2025-01-04 00:00:00,50,Passenger5 Legit111,passenger5.legit111788@outlook.com,+115-400-8123,Germany,Munich,London,Paris,214,Premium Economy,4,34.71,138.82,PayPal,Success,1,Website,2,46.101.78.96,5e8cff83a75f141c,1,False,,False,0,,1266,0,False,CLEAN,0,0,LOW_RISK,1,-0.4546876089276303,NORMAL,9.88,LOW
BK010006,2025-01-02,2025-01-10 00:00:00,8,Passenger6 Legit713,passenger6.legit713900@outlook.com,+246-159-4946,UK,Manchester,Atlanta,Seattle,2182,Economy,1,293.15,293.15,Credit Card,Success,1,Travel Agent,2,80.135.216.247,ed726c838a6f672b,3,False,,False,0,,1640,0,False,CLEAN,0,0,LOW_RISK,1,-0.44766044195992216,NORMAL,8.95,LOW
BK010007,2024-12-18,2025-01-22 00:00:00,35,Passenger7 Legit787,passenger7.legit787124@yahoo.com,+231-165-6539,Germany,Munich,London,Paris,214,Economy,2,27.65,55.29,Credit Card,Success,1,Website,1,46.121.142.172,907edea5a389d857,1,False,,False,0,,1349,0,False,CLEAN,0,0,LOW_RISK,1,-0.4050110918942434,NORMAL,3.32,LOW
BK010008,2024-12-31,2025-02-27 00:00:00,58,Passenger8 Legit348,passenger8.legit34897@gmail.com,+675-541-6804,Singapore,Singapore,Singapore,Bangkok,882,First Class,4,550.42,2201.7,Credit Card,Success,1,Call Center,0,103.98.97.138,139d47a99a6723c3,1,False,,True,70485,Gold,334,0,False,CLEAN,0,0,LOW_RISK,-1,-0.5443089723067734,ANOMALY,21.7,LOW
BK010009,2025-01-10,2025-01-23 00:00:00,13,Passenger9 Legit982,passenger9.legit982857@gmail.com,+993-195-4872,USA,Miami,Sydney,Melbourne,442,Premium Economy,4,83.2,332.78,Debit Card,Success,1,Travel Agent,0,50.135.232.74,05cb8f00cb1986b4,3,False,,False,0,,1318,0,False,CLEAN,0,0,LOW_RISK,1,-0.4691230619737696,NORMAL,11.78,LOW
BK010010,2024-11-25,2024-12-20 00:00:00,25,Passenger10 Legit598,passenger10.legit598594@icloud.com,+63-865-6138,Australia,Sydney,LAX,Tokyo,5478,Economy,1,706.83,706.83,Points,Success,1,Airport Counter,0,1.35.34.173,b9f7ccf71643c5be,1,False,,False,0,,1346,0,False,CLEAN,0,0,LOW_RISK,1,-0.4214422722582455,NORMAL,5.49,LOW
